Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment
81,1,28.9,3,1,1,311
43,1,79.9,3,1,2,312
206,1,52.5,1,1,1,111
170,1,119.9,1,1,2,112
64,1,155.8,3,1,3,313
225,1,97.9,1,1,2,112
28,1,139.98,3,1,3,313
28,1,65.0,3,1,2,312
115,1,36.9,2,1,1,211
12,1,74.0,3,1,2,312
117,1,105.0,2,1,2,212
188,1,215.0,1,1,3,113
81,1,790.0,3,1,3,313
231,1,23.8,1,1,1,111
175,1,369.48,1,1,3,113
210,1,19.9,1,1,1,111
209,1,122.99,1,1,2,112
200,1,44.9,1,1,1,111
140,1,109.9,2,1,2,212
179,1,104.0,1,1,2,112
14,1,659.99,3,1,3,313
176,1,188.0,1,1,3,113
67,1,28.0,3,1,1,311
90,1,252.0,2,1,3,213
188,1,28.49,1,1,1,111
139,1,79.9,2,1,2,212
28,1,219.99,3,1,3,313
40,1,69.99,3,1,2,312
35,1,99.8,3,1,2,312
160,1,44.99,2,1,1,211
160,1,112.33,2,1,2,212
229,1,73.5,1,1,2,112
216,1,224.5,1,1,3,113
112,1,410.0,2,1,3,213
21,1,37.9,3,1,1,311
127,1,69.0,2,1,2,212
125,1,77.9,2,1,2,212
70,1,30.9,3,1,1,311
26,1,78.0,3,1,2,312
37,1,572.64,3,1,3,313
15,1,799.9,3,1,3,313
120,1,59.8,2,1,2,212
138,1,106.0,2,1,2,212
71,1,150.82,3,1,3,313
165,1,116.99,1,1,2,112
230,1,100.8,1,1,2,112
180,1,159.98,1,1,3,113
212,1,25.9,1,1,1,111
140,1,14.2,2,1,1,211
99,1,728.0,2,1,3,213
169,1,49.99,1,1,1,111
184,1,39.99,1,1,1,111
107,1,79.9,2,1,2,212
106,1,19.8,2,1,1,211
175,1,97.65,1,1,2,112
27,1,54.9,3,1,1,311
238,1,127.0,1,1,2,112
227,1,21.9,1,1,1,111
88,1,79.0,2,1,2,212
27,1,150.0,3,1,3,313
7,1,64.99,3,1,2,312
99,1,32.9,2,1,1,211
167,1,45.99,1,1,1,111
122,1,131.0,2,1,3,213
211,1,70.0,1,1,2,112
77,1,67.99,3,1,2,312
85,1,99.0,2,1,2,212
65,1,229.99,3,1,3,313
183,1,89.99,1,1,2,112
118,1,59.98,2,1,2,212
195,1,19.9,1,1,1,111
28,1,87.8,3,1,2,312
119,1,199.89,2,1,3,213
195,1,55.9,1,1,1,111
118,1,49.99,2,1,1,211
64,1,72.9,3,1,2,312
76,1,27.5,3,1,1,311
145,1,18.6,2,1,1,211
154,1,129.9,2,1,3,213
